District,A.M.C Name,Market Yard Name,Market Type
Adilabad,Adilabad,Adilabad,Seasonal            
Adilabad,Boath,Boath,Seasonal            
Adilabad,Ichoda,Echoda,Seasonal            
Adilabad,Jainath,Jainath,Non-Functional      
Adilabad,Jainath,Bela,Non-Functional      
Adilabad,Inderavally,Indravally,Non-Functional      
Adilabad,Inderavally,Narnoor,Non-Functional      
Badradri (Kothagudem),Bhadrachalam,Bhadrachalam,Non-Functional      
Badradri (Kothagudem),Bhadrachalam,Dummugudem,Non-Functional      
Badradri (Kothagudem),Burgampahad,Burgampadu,Non-Functional      
Badradri (Kothagudem),Burgampahad,Manguru,Non-Functional      
Badradri (Kothagudem),Burgampahad,Aswapuram,Non-Functional      
Badradri (Kothagudem),Charla(Nuguru),Charla,Non-Functional      
Badradri (Kothagudem),Charla(Nuguru),Venkatapuram,Non-Functional      
Badradri (Kothagudem),Dhammapet,Dhammapet,Non-Functional      
Badradri (Kothagudem),Dhammapet,Mulakalapally,Non-Functional      
Badradri (Kothagudem),Kothagudem,Kothagudem,Non-Functional      
Badradri (Kothagudem),Kothagudem,Chandragonda,Non-Functional      
Badradri (Kothagudem),Eellandu,Yellandu,Non-Functional      
Badradri (Kothagudem),Eellandu,Bayyaram,Non-Functional      
Badradri (Kothagudem),Eellandu,Garla,Non-Functional      
Badradri (Kothagudem),Eellandu,Tekulapally,Non-Functional      
Badradri (Kothagudem),Eellandu,Gundla,Non-Functional      
Hyderabad,Bowenpally,Bowenpally,Functional          
Hyderabad,Hyderabad,Mahabubmansion,Functional          
Hyderabad,Hyderabad,Madannapeta,Functional          
Hyderabad,Hyderabad,Meeralamandi,Functional          
Hyderabad,Hyderabad,Chandrayana Gutta,Non-Functional      
Hyderabad,Hyderabad,Begum Bazaar,Non-Functional      
Hyderabad,Hyderabad,Kishan Gunj,Non-Functional      
Hyderabad,Gudimalkapur,Gudumalkapur,Functional          
Jagityal,Velgatur,Velgatur,Non-Functional      
Jagityal,Pegadapally,Pegadapally,Non-Functional      
Jagityal,Raikal,Raikal,Non-Functional      
Jagityal,Metpally,Metpally,Functional          
Jagityal,Korutla,Korutla,Functional          
Jagityal,Medipally,Midipally,Functional          
Jagityal,Mallapur,Mallapur,Functional          
Jagityal,Kathalapur,Kathalapur,Functional          
Jagityal,Ibrahimpatnam,Ibrahimpatnam,Functional          
Jagityal,Dharmapuri,Dharmapuri,Functional          
Jagityal,Gollapalli,Gollapalli,Functional          
Jagityal,Jagtial,Jagtial,Functional          
Jagityal,Mallial,Mallial,Functional          
Jagityal,Mallial,Cheppial,Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Mukugu,Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Govindraopet,Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Tadwai,Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Eturnagaram,Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Ghanpur(M),Non-Functional      
Jaishankar (Bhoopalapalli),Mulugu,Mangapet,Non-Functional      
Jaishankar (Bhoopalapalli),Kataram,Kataram,Functional          
Jangaon,Ghanpur,Ghanpur,Seasonal            
Jangaon,Ghanpur,Jaffarghad,Non-Functional      
Jangaon,Jangoan,Jangaon,Functional          
Jangaon,Jangoan,Ghanpur,Non-Functional      
Jangaon,Kodakandla,Kodakandala,Seasonal            
Jangaon,Kodakandla,Palakurthy,Non-Functional      
Jogulamba (Gadwal),Alampur,Ieeja,Non-Functional      
Jogulamba (Gadwal),Alampur,Alampur,Non-Functional      
Jogulamba (Gadwal),Gadwal,Gadwal,Functional          
Kamareddy,Yellareddy,Yellareddy,Seasonal            
Kamareddy,Yellareddy,Nagireddipet,Non-Functional      
Kamareddy,Banswada,Banswada,Seasonal            
Kamareddy,Pitlam,Pitlam,Seasonal            
Kamareddy,Gandhari,Gandari,Seasonal            
Kamareddy,Kamareddy,Kamareddy,Seasonal            
Kamareddy,Madnoor,Madnoor,Seasonal            
Kamareddy,Bichkunda,Bichkunda,Non-Functional      
Kamareddy,Bicknoor,Bicknoor,Non-Functional      
Kamareddy,Birkur,Birkur,Non-Functional      
Kamareddy,Sadasivanagar,Sadasivnagar,Non-Functional      
Karimnagar,Manakondur,Manakondur,Non-Functional      
Karimnagar,Choppadandi,Choppadandi,Functional          
Karimnagar,Jammikunta,Jammikunta,Functional          
Karimnagar,Jammikunta,Kamalapur,Non-Functional      
Karimnagar,Karimnagar,Karimnagar,Functional          
Karimnagar,Gangadhara,Gangadhara,Functional          
Karimnagar,Huzurabad,Huzurabad,Functional          
Karimnagar,Huzurabad,Elkaturthy,Non-Functional      
Karimnagar,Huzurabad,Kesavapatnam,Non-Functional      
Karimnagar,Gopalraopet,Gopalraopet,Non-Functional      
Khammam,Enkoor,Enkoor,Non-Functional      
Khammam,Enkoor,Julurupadu,Non-Functional      
Khammam,Kallur,Kallur,Non-Functional      
Khammam,Khammam,Khammam,Functional          
Khammam,Madhira,Madhira,Non-Functional      
Khammam,Madhira,Bonakal,Non-Functional      
Khammam,Madhira,Yerrupalem,Non-Functional      
Khammam,Nelakondapally,Nelakondapally,Non-Functional      
Khammam,Sattupalli,Sattupalli,Non-Functional      
Khammam,Wyra,Wyra,Non-Functional      
Khammam,Wyra,Thallada,Non-Functional      
Komarambheem (Asifabad),Jainoor,Jainoor,Non-Functional      
Komarambheem (Asifabad),Jainoor,Hasnapur,Non-Functional      
Komarambheem (Asifabad),Sirpur Kazaznagar,Kagaznagar,Non-Functional      
Komarambheem (Asifabad),Asifabad,Asifabad,Seasonal            
Komarambheem (Asifabad),Asifabad,Wankidi,Non-Functional      
Mahabubabad,Thorrur,Thorruru,Seasonal            
Mahabubabad,Thorrur,Nellikudoor,Seasonal            
Mahabubabad,Mahabubabad,Mahabubabad,Seasonal            
Mahabubabad,Mahabubabad,Dornakal,Non-Functional      
Mahabubabad,Kesamudram,Kesamudram,Functional          
Mahabubabad,Kesamudram,Maripeda,Non-Functional      
Mahbubnagar,Navabpet,Navabpet,Non-Functional      
Mahbubnagar,Kosgi,Kosgi,Seasonal            
Mahbubnagar,Kosgi,Kodanagal,Non-Functional      
Mahbubnagar,Mahbubnagar,Mahaboobnagar,Functional          
Mahbubnagar,Makthal,Makthal,Seasonal            
Mahbubnagar,Makthal,Krishna,Non-Functional      
Mahbubnagar,Narayanpet,Narayanpet,Seasonal            
Mahbubnagar,Badepally,Badepally,Functional          
Mahbubnagar,Devarakadra,Devarakadra,Functional          
Mancherial,Bellampally,Bellampally,Non-Functional      
Mancherial,Jannaram,Jannaram,Non-Functional      
Mancherial,Chennur,Chennur,Seasonal            
Mancherial,Luxettipet,Luxettipet,Functional          
Mancherial,Mancherial,Mancherial,Non-Functional      
Medak,Medak,Medak,Non-Functional      
Medak,Narsapur,Doulthabad,Non-Functional      
Medak,Narsapur,Narsapur,Non-Functional      
Medak,Ramayampet,Ramayampet,Non-Functional      
Medak,Ramayampet,Nizampet,Non-Functional      
Medak,Chegunta,Chegunta,Non-Functional      
Medak,Papannapet,Papannapet,Non-Functional      
Medchal (Keesara),Medchal,Medchal,Functional          
Nagarkurnool,Achampet,Achampet,Seasonal            
Nagarkurnool,Achampet,Amarbad,Non-Functional      
Nagarkurnool,Achampet,Lingal,Non-Functional      
Nagarkurnool,Nagarkurnool,Nagarkurnool,Functional          
Nagarkurnool,Nagarkurnool,Telkaplly,Non-Functional      
Nagarkurnool,Kalwakurthy,Kalwakurthy,Seasonal            
Nagarkurnool,Kalwakurthy,Charakonda,Non-Functional      
Nagarkurnool,Kollapur,Kollapur,Non-Functional      
Nalgonda,Deverkonda,Devarakonda,Functional          
Nalgonda,Deverkonda,Kondamallepally,Non-Functional      
Nalgonda,Deverkonda,Dindi,Non-Functional      
Nalgonda,Deverkonda,P.A.Pally,Non-Functional      
Nalgonda,Halia,Halia,Functional          
Nalgonda,Halia,Thirrmalagiri,Non-Functional      
Nalgonda,Halia,Peddavura,Non-Functional      
Nalgonda,Chandur,Chandur,Functional          
Nalgonda,Chandur,Munugodu,Non-Functional      
Nalgonda,Chandur,Narayanpur,Non-Functional      
Nalgonda,Chityal,Chityal,Functional          
Nalgonda,Miryalguda,Miryalguda,Weekly              
Nalgonda,Miryalguda,Damaracherla,Non-Functional      
Nalgonda,Nidmanoor,Nidamanoor,Functional          
Nalgonda,Nakrekal,Nakrekal,Functional          
Nalgonda,Nakrekal,Shaligowraram,Non-Functional      
Nalgonda,Nalgonda,Nalgonda,Functional          
Nalgonda,Nalgonda,Thipparthy,Non-Functional      
Nalgonda,Nalgonda,Kanagal,Non-Functional      
Nalgonda,Venkateshwar Nagar,V Nagar,Functional          
Nalgonda,Venkateshwar Nagar,Chintaplly,Non-Functional      
Nalgonda,Venkateshwar Nagar,Nampally,Non-Functional      
Nirmal,Nirmal,Nirmal,Seasonal            
Nirmal,Sarangapur,Sarangapur,Seasonal            
Nirmal,Bhainsa,Bhainsa,Functional          
Nirmal,Khanapur,Khanpur,Seasonal            
Nirmal,Kubeer,Kubeer,Non-Functional      
Nirmal,Kubeer,Pulsi,Non-Functional      
Nizamabad,Armoor,Armoor,Seasonal            
Nizamabad,Nizamabad,Nizamabad,Functional          
Nizamabad,Nizamabad,shradhanand gunj,0
Nizamabad,Varni,Varni,Seasonal            
Nizamabad,Bodhan,Bodhan,Seasonal            
Nizamabad,Kammarapally,Kammarapally,Non-Functional      
Nizamabad,Velpur,Velpur,Non-Functional      
Nizamabad,Velpur,Kisannagar,Non-Functional      
Nizamabad,Kotagiri,Kotagiri,Non-Functional      
Peddapalli,Srirampur,Srirampur,Non-Functional      
Peddapalli,Julapally,Julapally,Non-Functional      
Peddapalli,Kamanpur,Kamanpur,Non-Functional      
Peddapalli,Dharmaram,Dharmaram,Functional          
Peddapalli,Dharmaram,Eleged,Non-Functional      
Peddapalli,Manthani,Manthani,Functional          
Peddapalli,Sultanabad,Sultanabad,Functional          
Peddapalli,Sultanabad,Garrepalli,Non-Functional      
Peddapalli,Peddapally,Peddapally,Functional          
Peddapalli,Peddapally,Pothakopalli,Non-Functional      
Rajanna (Sircilla),Pothugal,Pothugal,Non-Functional      
Rajanna (Sircilla),Siricilla,Siricilla,Functional          
Rajanna (Sircilla),Vemulawada,Vemulawada,Functional          
Rajanna (Sircilla),Vemulawada,Boinapally,Non-Functional      
Rajanna (Sircilla),Rudrangi,Rudrangi,Non-Functional      
Rajanna (Sircilla),R.Boppapur,Boppapur,Non-Functional      
Rajanna (Sircilla),Ellanthakunta,Ellanthakunta,Non-Functional      
Rajanna (Sircilla),Gambhiraopet,Gambiraopet,Non-Functional      
Rangareddy,Maheshwaram,Maheshwaram,Non-Functional      
Rangareddy,Narsingi,Narsingi,Functional          
Rangareddy,Narsingi,Babbuguda,Non-Functional      
Rangareddy,Chevella,Chevella,Functional          
Rangareddy,Gaddiannaram,Gaddiannaram,Functional          
Rangareddy,Gaddiannaram,L.B Nagar,Functional          
Rangareddy,Ibrahimpatnam,Ibrahimpatnam,Functional          
Rangareddy,Sardarnagar,Sardarnagar,Weekly              
Rangareddy,Sardarnagar,Moinabad,Non-Functional      
Rangareddy,Shankerpally,Shankerpally,Functional          
Rangareddy,Shadnagar,Shadnagar,Seasonal            
Rangareddy,Shadnagar,Chowderguda,Non-Functional      
Rangareddy,Amangal,Amangal,Seasonal            
Rangareddy,Amangal,Kadthal,Non-Functional      
Sanga Reddy,Zaheerabad,Zaheerabad,Functional          
Sanga Reddy,Zaheerabad,Kohir,Non-Functional      
Sanga Reddy,Vatpally,vatpally,Non-Functional      
Sanga Reddy,Raikode,Raikode,Non-Functional      
Sanga Reddy,Sangareddy,Sangaredy,Functional          
Sanga Reddy,Sangareddy,kanda,Non-Functional      
Sanga Reddy,Sadasivpet,Sadasivapet,Functional          
Sanga Reddy,Narayankhed,Narayankhed,Non-Functional      
Sanga Reddy,Jogipet,Jogipet,Functional          
Sanga Reddy,Jogipet,Shankarampet (A),Non-Functional      
Sanga Reddy,Patancheru,Patancheru,Non-Functional      
Siddipet,Chinnakoduru,Chinnakodur,Non-Functional      
Siddipet,Dhoultabad,Dhoultabad,Non-Functional      
Siddipet,Kondapaka,Kondapaka,Non-Functional      
Siddipet,Mirdoddi,Mirdoddi,Non-Functional      
Siddipet,Nanganoor,Nagnoor,Non-Functional      
Siddipet,Siddipet,Siddipet,Functional          
Siddipet,Thogutta,Thogutta,Non-Functional      
Siddipet,Dubbaka,Dubbak,Non-Functional      
Siddipet,Gajwel,Gajwel,Seasonal            
Siddipet,Vantimamidi,Vantimamidi,Functional          
Siddipet,Koheda,Koheda,Non-Functional      
Siddipet,Bejjanki,Bejjanki,Non-Functional      
Siddipet,Cherial,Cherial,Seasonal            
Siddipet,Cherial,Bachannapeta,Non-Functional      
Siddipet,Husnabad,Husnabad,Functional          
Suryapet,Neredcherla,Neredcherla,Functional          
Suryapet,Suryapet,Suryapet,Functional          
Suryapet,Thirumalagiri,Tirmalagiri,Functional          
Suryapet,Thirumalagiri,Thungathurthy,Non-Functional      
Suryapet,Huzurnagar,Huzurnagar,Non-Functional      
Suryapet,Huzurnagar,Garidepally,Seasonal            
Suryapet,Huzurnagar,Mattapally,Non-Functional      
Suryapet,Kodad,Kodada,Functional          
Suryapet,Kodad,Nadigudem,Non-Functional      
Vikarabad,Pargi,Pargi,Functional          
Vikarabad,Tandur,Tandur,Functional          
Vikarabad,Vikarabad,Vikarabad,Functional          
Vikarabad,Marpally,Marpally,Functional          
Vikarabad,Basheerabad,Basheerabad,Non-Functional      
Vikarabad,Dharur,Dharur,Non-Functional      
Vikarabad,Kotipally,Kotipally,Non-Functional      
Vikarabad,Kulkacherla,Kulkacherla,Non-Functional      
Wanaparthy,Wanaparthy Road,W.P Road,Seasonal            
Wanaparthy,Wanaparthy Town,W.P.Town,Seasonal
Wanaparthy,Pebbair,Pebbair,Non-Functional      
Wanaparthy,Atmakur,Atmakur,Seasonal            
Warangal Rural,Narsampet,Khanapur,Seasonal            
Warangal Rural,Narsampet,Narsampet,Non-Functional      
Warangal Rural,Parkal,Parkal,Seasonal            
Warangal Rural,Parkal,Chetiyal,Non-Functional      
Warangal Rural,Parkal,satyampeta,Non-Functional      
Warangal Rural,Wardhannapet,Wardannapeta,Seasonal            
Warangal Rural,Wardhannapet,Rayaparthy,Seasonal            
Warangal Rural,Nekkonda,Nekkonda,Seasonal            
Warangal Rural,Athmakur,Atmakur(Gudepahad),Seasonal            
Warangal Urban,Warangal,Warangal,Functional          
Warangal Urban,Warangal,Parvathagiri,Non-Functional      
Yadadri (Bhongir),Alair,Alair,Seasonal            
Yadadri (Bhongir),Alair,motakondu,Seasonal            
Yadadri (Bhongir),Bhongir,Bhongir,Functional          
Yadadri (Bhongir),Mothkur,Mothkur,Functional          
Yadadri (Bhongir),Mothkur,Gundala,Non-Functional      
Yadadri (Bhongir),Mothkur,Atmakur,Non-Functional      
Yadadri (Bhongir),Chouttuppal,Chouttuppal,Functional          
Yadadri (Bhongir),Valigonda,Valigonda,Functional          
Yadadri (Bhongir),Valigonda,Ramannapet,Non-Functional      
